Site,Type,Number,HostOctet,OS,ConnectionType,Managed,Notes,SubnetSite,Legacy,Migrating,Planned
CLD,ANS,1,9,Debian,ssh,,Ansible control node -- manages all sites,,no,,
CLD,RUD,1,12,Debian,ssh,,Rudder configuration management server,,no,,
CLD,SLT,1,22,Debian,ssh,,Salt master -- manages Windows client endpoints (WKS/LAP/TAB/SUR/MAC/MBP) only; FWL/DCS/SVR/PVE stay Ansible-only,,no,,
CLD,SVR,2,20,Windows Server 2022,ssh,,Windows Admin Centre -- reaches all site DCs,,no,,
CLD,PBX,1,48,,ssh,,3CX PBX. No SBC in CLD so put the PBX there instead,,no,,
FRD,TMP,1,1,,none,,"Provisioning server (PXE, port 8000) -- legal fiction, physically a MacBook running python3 -m http.server 8000, mirroring /debian from Edinburgh. Detected via gateway 172.16.124.2 in menu.ipxe/late_command.sh; octet .1 here (not the standard .15 PRV slot) matches the real boot-url. Bootstrap-only -- no formal hostname/DNS record (2026-07-21)",,no,,
CLD,PBX,2,48,,ssh,,"Secondary 3CX PBX -- physically at Fredericia Havn (FRD Havn), hostnamed under CLD as part of the 2026-07-11 Pulsant DC / FRD Havn CLD network rework. No SBC on FRD's network either -- same reuse-the-empty-SBC-slot pattern as CLD's own PBX (CLD,PBX,1). Real IP stays on FRD's own subnet via SubnetSite.",FRD,no,,
VRK,DNS,1,8,Debian trixie,ssh,,DNS/BIND server -- jukebox.internal authoritative,,no,,
VRK,TMP,1,50,,none,,Provisioning server -- PXE / ISOs / Ansible keys / scripts. Bootstrap-only -- no formal hostname/DNS record (2026-07-21),,no,,
VRK,FWL,1,69,,ssh,,"Firewall WAN face, same physical device as EXAFWLCLD001 -- vRACK, LAN face 192.168.69.253",,no,,
FAL,RDR,1,16,,ssh,,HID Signo badge reader,,yes,yes,
FAL,SRV,1,20,,ssh,,Reserved -- standard convention slot,,yes,yes,
FAL,TAR,1,33,Solaris Embedded,telnet,,Legacy tape archive,,yes,yes,
FAL,LCD,1,50,Samsung Tizen,http,,Reception display,,yes,yes,
FAL,VCU,1,51,Poly Studio X70,http,,Video conferencing,,yes,yes,
FAL,PMP,1,60,,none,,Networked petrol pump,,yes,yes,
FAL,TEA,1,61,,http,,Smart coffee machine,,yes,yes,
FAL,DON,1,62,VxWorks,http,,Donut vending,,yes,yes,
FAL,VND,2,63,NT4 Embedded,none,,Vending machine,,yes,yes,
FAL,VND,3,64,XPe,none,,Vending machine,,yes,yes,
FAL,VND,4,65,NT4,none,,Vending machine,,yes,yes,
FAL,VND,5,66,NT4,none,,Confectionery machine,,yes,yes,
FAL,MUS,1,67,,none,,Jukebox,,yes,yes,
FAL,CAM,1,70,Axis P3245-LVE,http,,Camera front entrance,,yes,yes,
FAL,CAM,2,71,Axis P3245-LVE,http,,Camera studio hallway,,yes,yes,
