Site,Type,Number,HostOctet,OS,Notes,SubnetSite
AAR,RAC,1,2,HP iLO,,
ABD,RAC,1,2,HP iLO on HP ML310e,,
AKL,ESX,1,5,"HP Server, VMware ESXi",,
AKL,RAC,1,2,HPE iLO5,,
BER,RAC,1,2,"PCI remote-power card on OptiPlex, not a real BMC",,
BIR,ESX,1,5,"Dell server, VMware ESXi",,
BIR,RAC,1,2,Dell DRAC,,
BON,RAC,1,2,Dell iDRAC9,,
BRK,ESX,1,5,"HP ML310e, VMware ESXi 1",,
BRK,ESX,2,6,"HP ML310e, VMware ESXi 2",,
BRK,ESX,3,7,"HP ML310e, VMware ESXi 3",,
BRK,RAC,1,2,HP iLO 1,,
BRK,RAC,2,3,HP iLO 2,,
BRK,RAC,3,4,HP iLO 3,,
BRK,VCT,1,,VMware vCenter,cluster management; IP not recorded in original hand-built diagram,
CLY,RAC,1,2,HPE iLO5,no host ever built,
CPH,ESX,1,5,VMware ESXi,,
CPH,RAC,1,2,Dell iDRAC9,,
DUN,RAC,1,2,HP iLO on HP ML310e,never deployed,
EDI,ESX,1,5,VMware ESXi,,
EDI,RAC,1,2,Dell iDRAC9,,
FAL,ESX,1,5,"HP ML310e, 32GB RAM, VMware ESXi",,
FAL,RAC,1,2,HP iLO,,
FAX,RAC,1,2,BMC,,
GLA,ESX,1,5,"HP ML310e, VMware ESXi",,
GLA,RAC,1,2,HP iLO,,
KGE,RAC,1,2,BMC,,
KOR,RAC,1,2,HP iLO,,
LAX,RAC,1,2,Dell iDRAC9,,
LIV,ESX,1,5,"HP ML310e, VMware ESXi",,
LIV,RAC,1,2,HPE iLO5,,
LND,RAC,1,2,Dell iDRAC9,no host ever built,
MCR,ESX,1,5,"HP Server, VMware ESXi",,
MCR,RAC,1,2,HPE iLO5,,
MEL,ESX,1,5,VMware ESXi,,
MEL,RAC,1,2,HPE iLO5,,
NEW,ESX,1,5,VMware ESXi,hardware later reused as EXAPVENEW002,
NEW,RAC,1,2,Dell iDRAC9,,
ODE,ESX,1,5,"HP ML310e, VMware ESXi 1",,
ODE,ESX,2,6,"HP ML310e, VMware ESXi 2",,
ODE,ESX,3,7,"HP ML310e, VMware ESXi 3",,
ODE,RAC,1,2,HP iLO 1,,
ODE,RAC,2,3,HP iLO 2,,
ODE,RAC,3,4,HP iLO 3,,
ODE,VCT,1,,VMware vCenter,cluster management; IP not recorded in original hand-built diagram,
PER,RAC,1,2,HP iLO on HP ML310e,never deployed,
SYD,ESX,1,5,"Dell Server, VMware ESXi",,
SYD,RAC,1,2,Dell iDRAC9,,
TOR,RAC,1,2,HP iLO,,
TOR,RAC,2,3,HP iLO,,
